# Fonte: Wikidata SPARQL (P31=comune italiano Q747074, P635=codice ISTAT, P625=coordinata)
# Licenza: CC0 1.0 (Wikidata) - https://www.wikidata.org/wiki/Wikidata:Licensing
# Data di scarico: 2026-08-18
# Rigenerazione: npx tsx scripts/fetch-wikidata-territorial.ts
istat_code,latitude,longitude
024020,45.766667,11.516667
026047,45.633200,12.086700
024030,45.760568,11.472352
024040,45.733333,11.550000
024003,45.366667,11.433333
024087,45.716667,11.766667
024075,45.350000,11.466667
026036,45.733333,11.866667
023002,45.316667,11.266667
024122,45.730860,11.503154
026094,45.683333,12.500000
024063,45.666667,11.366667
026058,45.716667,12.466667
026020,45.950000,12.350000
026056,45.873889,11.947500
023020,45.120755,11.410750
026067,46.001033,12.225549
024070,45.783333,11.816667
024079,45.290390,11.502500
024050,45.915556,11.271389
024046,45.483333,11.700000
024094,45.583333,11.250000
024062,45.665781,11.563302
024068,45.483333,11.366667
024016,45.650000,11.633333
026037,45.823200,12.535600
024010,45.300000,11.450000
024025,45.716667,11.700000
024104,45.686178,11.704184
026053,45.933333,12.416667
024115,45.789300,11.368700
024043,45.462510,11.339840
024017,45.583333,11.366667
026032,45.800000,12.166667
026077,45.783333,11.833333
026089,45.683333,12.016667
026063,45.600000,12.233333
024041,45.900000,11.633333
023003,45.216667,11.283333
024028,45.583333,11.400000
026035,45.683333,12.100000
026042,45.950000,12.100000
026064,45.650000,12.166667
023010,45.216667,11.366667
026074,45.790556,12.394722
023018,45.600000,10.800000
023009,45.250000,11.283333
026033,45.928590,12.396870
024060,45.450000,11.383333
024074,45.283333,11.533333
026088,45.833333,12.383333
026048,45.866667,12.100000
024024,45.748798,11.457793
023007,45.379623,11.208976
024082,45.649444,11.674444
026044,45.650000,12.433333
024015,45.466667,11.450000
023005,45.566667,11.150000
086005,37.583333,14.266667
086015,37.400000,14.133333
062074,41.216667,14.533333
086013,37.650000,14.450000
061011,41.183333,14.216667
061029,40.960334,14.230109
062077,41.183333,14.650000
044073,42.881919,13.494361
044056,42.899900,13.458700
061024,41.183333,14.283333
061019,41.010833,14.131944
086004,37.366667,14.200000
061102,41.200000,13.850000
062076,41.183333,14.683333
044044,42.899167,13.333889
044031,42.897869,13.793981
061012,41.073400,14.025420
061013,41.044550,14.302322
062062,41.250000,14.616667
086008,37.816667,14.500000
044064,42.847798,13.483360
044001,42.769200,13.409450
044023,42.989100,13.868069
044012,42.938139,13.621944
061015,41.105556,14.213889
061017,41.183333,13.983333
044034,42.970669,13.587000
061032,41.076160,14.280390
044011,42.869553,13.713300
061101,41.166667,13.950000
062071,41.066667,14.800000
044005,42.899058,13.665989
044065,42.954569,13.560950
061003,41.250000,14.333333
062075,41.133333,14.633333
044014,42.878050,13.748200
061103,40.991550,14.142698
061031,41.333333,13.983333
062067,41.066667,14.816667
061033,41.266667,14.300000
062078,41.150000,14.933333
044020,42.821000,13.632950
061002,41.333333,14.333333
044017,43.024919,13.858889
061023,41.183333,14.450000
061007,41.166667,14.233333
062072,41.366667,14.666667
061027,41.050000,13.916667
062065,41.066667,14.833333
086011,37.650000,14.400000
061016,40.983333,14.216667
061020,41.001960,14.198340
086010,37.716667,14.533333
061009,41.183333,14.366667
086002,37.416667,14.450000
044021,42.963331,13.491031
062069,41.383333,14.716667
044027,42.831600,13.687139
061010,41.218889,14.129167
061028,41.050000,14.416667
086016,37.650000,14.633333
086017,37.766667,14.350000
086012,37.750000,14.400000
044029,43.050889,13.797311
062068,41.233333,14.500000
044015,42.957244,13.414569
086014,37.383333,14.366667
044038,42.842111,13.332783
044006,42.772565,13.296643
044054,42.935350,13.692000
061001,41.383333,14.200000
086006,37.566667,14.683333
044013,42.898347,13.727569
086020,37.583333,14.166667
044036,43.051661,13.751411
062070,41.089320,14.497430
061030,41.450000,14.166667
086019,37.500000,14.383333
061006,41.300000,14.250000
062064,41.310833,14.880556
044045,42.920256,13.835519
086018,37.783333,14.600000
044002,42.944711,13.813550
062063,41.266667,14.633333
061004,41.027340,14.497700
061026,41.116667,14.350000
086001,37.650000,14.516667
086003,37.633333,14.416667
061014,41.467778,14.146667
044010,43.032183,13.683731
044032,42.987253,13.606853
044063,43.000217,13.762492
044071,42.888658,13.773069
062073,41.183333,14.550000
086007,37.623276,14.739489
062066,41.052739,14.859886
061018,41.075700,14.308600
061021,41.081348,14.291506
061025,41.393814,14.422959
044016,42.983989,13.688081
028059,45.223056,11.611111
028052,45.183333,11.533333
002088,45.366667,8.316667
002142,45.231111,8.454722
028012,45.107700,11.782550
002137,45.683333,8.316667
026014,45.866667,11.900000
008055,43.817500,7.775000
026016,45.730041,12.581279
026001,45.750000,11.950000
002150,45.350000,8.166667
088002,37.033333,14.700000
002133,45.366667,8.166667
002134,45.791852,8.112990
028027,45.183333,11.466667
002096,45.770150,8.080970
028053,45.166667,11.433333
028046,45.600000,11.950000
026003,45.800000,11.916667
002148,45.195278,8.296111
002097,45.766667,8.050000
088006,36.867222,14.761389
029050,45.066667,11.650000
088004,37.050000,14.800000
002135,45.766667,8.100000
002118,45.250000,8.283333
002163,45.433333,8.333333
002107,45.757869,8.265721
088008,36.730280,14.846720
028061,45.266667,11.783333
028028,45.316667,11.916667
026013,45.700000,11.883333
026002,45.779523,12.223661
076048,40.996389,15.655833
002126,45.317356,8.285632
088003,36.950000,14.600000
088005,36.785278,14.906944
088001,37.025286,14.492464
026017,45.783333,12.366667
026004,45.816667,11.800000
026008,45.683333,12.283333
002090,45.183333,8.233333
028104,45.488900,11.974710
028070,45.200000,11.783333
028066,45.309392,11.956012
028058,45.414302,11.951004
002035,45.500000,8.333333
028088,45.133333,11.750000
026009,45.598800,12.324300
029046,45.000000,12.216667
002166,45.833333,8.200000
002113,45.900000,8.183333
002147,45.233333,8.333333
028013,45.533561,11.965879
088007,37.073971,14.732830
088012,36.950000,14.533333
002102,45.716667,8.233333
037046,44.450000,11.483333
002156,45.813830,8.258140
012108,45.633333,8.883333
026012,45.666667,11.933333
026011,45.833333,11.883333
002115,45.216667,8.416667
028010,45.102980,11.704530
002122,45.533333,8.316667
002093,45.261959,8.482279
028079,45.250000,11.816667
026015,45.716667,12.616667
002116,45.597533,8.290208
026010,45.643611,12.295278
029035,45.135250,11.989361
028067,45.200000,11.583333
002089,45.400000,8.383333
028026,45.266667,11.866667
002121,45.854649,8.121654
002091,45.233333,8.416667
002104,45.282293,8.478118
002110,45.766667,8.016667
026018,45.970278,12.143056
002152,45.733333,8.333333
002131,45.350000,8.250000
028077,45.655700,11.859400
028021,45.216667,11.966667
002164,45.387762,8.432632
002128,45.233333,8.016667
026007,45.966667,12.366667
028038,45.637629,11.752198
029038,45.016667,11.816667
028035,45.233333,12.066667
002127,45.306806,8.314651
